qualifies,provisional_qualifies,requires_manual_seller_verification,title,url,price_yen,seller_positive_ratings,listing_type,target_confidence,priced_card_entries,unidentified_card_count,acquisition_cost_aud,identified_value_aud,saving_aud,saving_percent,rejection_reasons
False,False,True,"3,600
(
21.96
)
Victini AR SV11B Black Bolt 097/0...",https://sendico.com/shop/mercari/catalog/m21740128151,3600,,single,0.99,1,0,41.82,27.12,-14.7,-54.22,seller positive rating could not be verified; saving is -54.2%; minimum is 20.0%
False,False,True,"1,900
(
11.59
)
Victini AR SV11B Black Bolt 097/0...",https://sendico.com/shop/mercari/catalog/m40113077517,1900,,single,0.98,1,0,24.48,27.12,2.64,9.72,seller positive rating could not be verified; saving is 9.7%; minimum is 20.0%
False,False,True,"2,600
(
15.86
)
Pokémon Card Victini sv11B AR",https://sendico.com/shop/mercari/catalog/m97487461762,2600,,single,0.98,1,0,31.62,27.12,-4.5,-16.61,seller positive rating could not be verified; saving is -16.6%; minimum is 20.0%
